Epico,Historia,Titulo Historia,Data-Lake,Chave,Titulo,Status,Data Criacao,Data Atualizacao,Quantidade Subtarefas,Categoria_Analise
BF3E4-22,BF3E4-3091,[COMERCIAL - 94] QFS Legacy - Dashboards e Atributos - TAMANHO: M,COMERCIAL,BF3E4-3094,1.2 QFS_Analytics.PesosQFSNew,Open,2026-03-10T19:16:42.989-0300,2026-03-10T19:16:43.158-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3091,[COMERCIAL - 94] QFS Legacy - Dashboards e Atributos - TAMANHO: M,COMERCIAL,BF3E4-3093,1.1 QFS_Analytics.Dash_QFS_WordCloud,Open,2026-03-10T19:16:41.740-0300,2026-03-10T19:16:41.922-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3091,[COMERCIAL - 94] QFS Legacy - Dashboards e Atributos - TAMANHO: M,COMERCIAL,BF3E4-3092,[1] Tabelas Legadas - Somente cópias,Open,2026-03-10T19:16:40.496-0300,2026-03-10T19:16:40.675-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3084,[COMERCIAL - 93] QFS Global - Analytics - TAMANHO: M,COMERCIAL,BF3E4-3090,[QA] Testes / Data Quality,Open,2026-03-10T19:16:30.935-0300,2026-03-10T19:16:31.126-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3084,[COMERCIAL - 93] QFS Global - Analytics - TAMANHO: M,COMERCIAL,BF3E4-3089,1.4 Analytics_QFS.tb_qfs_checkbox_pt,Open,2026-03-10T19:16:29.310-0300,2026-03-10T19:16:29.507-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3084,[COMERCIAL - 93] QFS Global - Analytics - TAMANHO: M,COMERCIAL,BF3E4-3088,1.3 Analytics_QFS.tb_qfs_checkbox_en,Open,2026-03-10T19:16:28.038-0300,2026-03-10T19:16:28.211-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3084,[COMERCIAL - 93] QFS Global - Analytics - TAMANHO: M,COMERCIAL,BF3E4-3087,1.2 Analytics_QFS_Restricted.tb_qfs_checkbox_pt,Open,2026-03-10T19:16:26.592-0300,2026-03-10T19:16:26.768-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3084,[COMERCIAL - 93] QFS Global - Analytics - TAMANHO: M,COMERCIAL,BF3E4-3086,1.1 Analytics_QFS_Restricted.tb_qfs_checkbox_en,Open,2026-03-10T19:16:25.183-0300,2026-03-10T19:16:25.392-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3084,[COMERCIAL - 93] QFS Global - Analytics - TAMANHO: M,COMERCIAL,BF3E4-3085,[1] DAG - data-lake-commercial-carga-analytics-qfs-checkbox,Open,2026-03-10T19:16:23.878-0300,2026-03-10T19:16:24.091-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,COMERCIAL,BF3E4-3083,[QA] Testes / Data Quality,Open,2026-03-10T19:16:09.667-0300,2026-03-10T19:16:09.863-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,COMERCIAL,BF3E4-3082,2.1 vw_qfs_population,Open,2026-03-10T19:16:08.545-0300,2026-03-10T19:16:08.696-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,COMERCIAL,BF3E4-3081,[2] Views Analíticas,Open,2026-03-10T19:16:06.994-0300,2026-03-10T19:16:07.155-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,COMERCIAL,BF3E4-3080,1.4 Analytics_QFS.tb_qfs_respondent_pt,Open,2026-03-10T19:16:05.901-0300,2026-03-10T19:16:06.048-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,COMERCIAL,BF3E4-3079,1.3 Analytics_QFS.tb_qfs_respondent_en,Open,2026-03-10T19:16:04.274-0300,2026-03-10T19:16:04.455-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,COMERCIAL,BF3E4-3078,1.2 Analytics_QFS_Restricted.tb_qfs_respondent_pt,Open,2026-03-10T19:16:03.008-0300,2026-03-10T19:16:03.192-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,COMERCIAL,BF3E4-3077,1.1 Analytics_QFS_Restricted.tb_qfs_respondent_en,Open,2026-03-10T19:16:01.823-0300,2026-03-10T19:16:01.975-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,COMERCIAL,BF3E4-3076,[1] DAG - data-lake-commercial-carga-analytics-qfs-respondente,Open,2026-03-10T19:16:00.713-0300,2026-03-10T19:16:00.893-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3074,[QA] Testes / Data Quality,Open,2026-03-10T19:15:53.222-0300,2026-03-10T19:15:53.376-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3073,4.3 vw_qfs_canceled,Open,2026-03-10T19:15:52.069-0300,2026-03-10T19:15:52.232-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3072,4.2 vw_qfs_verbatim_pt,Open,2026-03-10T19:15:50.599-0300,2026-03-10T19:15:50.748-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3071,4.1 vw_qfs_verbatim_en,Open,2026-03-10T19:15:49.034-0300,2026-03-10T19:15:49.325-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3070,[4] Views Analíticas,Open,2026-03-10T19:15:47.462-0300,2026-03-10T19:15:47.690-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3069,3.1 DataMart_QFSAR.tb_qfs_canceled,Open,2026-03-10T19:15:46.015-0300,2026-03-10T19:15:46.170-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3068,[3] DAG - data-lake-commercial-carga-datamart-qfs-cancelamento-arg,Open,2026-03-10T19:15:44.762-0300,2026-03-10T19:15:44.931-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3067,2.2 DataMart_QFSAR.tb_qfs_verbatim_pt,Open,2026-03-10T19:15:43.490-0300,2026-03-10T19:15:43.674-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3066,2.1 DataMart_QFSAR.tb_qfs_verbatim_en,Open,2026-03-10T19:15:41.983-0300,2026-03-10T19:15:42.151-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3065,[2] DAG - data-lake-commercial-carga-datamart-qfs-verbalizacao-arg,Open,2026-03-10T19:15:40.448-0300,2026-03-10T19:15:40.633-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3064,1.3 Staging_QFSAR.tb_qfs_canceled,Open,2026-03-10T19:15:38.888-0300,2026-03-10T19:15:39.070-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3063,1.2 Staging_QFSAR.tb_qfs_verbatim_pt,Open,2026-03-10T19:15:37.449-0300,2026-03-10T19:15:37.609-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3062,1.1 Staging_QFSAR.tb_qfs_verbatim_en,Open,2026-03-10T19:15:36.264-0300,2026-03-10T19:15:36.448-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,COMERCIAL,BF3E4-3061,[1] Cloud Function Template - fn_load_gcs_bgq_qfs,Open,2026-03-10T19:15:34.810-0300,2026-03-10T19:15:34.980-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3053,[COMERCIAL - 90] QFS Argentina - Checkbox (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3059,[QA] Testes / Data Quality,Open,2026-03-10T19:15:25.193-0300,2026-03-10T19:15:25.375-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3053,[COMERCIAL - 90] QFS Argentina - Checkbox (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3058,1.4 Analytics_QFSAR.tb_qfs_checkbox_pt,Open,2026-03-10T19:15:23.924-0300,2026-03-10T19:15:24.103-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3053,[COMERCIAL - 90] QFS Argentina - Checkbox (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3057,1.3 Analytics_QFSAR.tb_qfs_checkbox_en,Open,2026-03-10T19:15:22.538-0300,2026-03-10T19:15:22.712-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3053,[COMERCIAL - 90] QFS Argentina - Checkbox (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3056,1.2 Analytics_QFSAR_Restricted.tb_qfs_checkbox_pt,Open,2026-03-10T19:15:21.344-0300,2026-03-10T19:15:21.491-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3053,[COMERCIAL - 90] QFS Argentina - Checkbox (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3055,1.1 Analytics_QFSAR_Restricted.tb_qfs_checkbox_en,Open,2026-03-10T19:15:20.106-0300,2026-03-10T19:15:20.302-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3053,[COMERCIAL - 90] QFS Argentina - Checkbox (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3054,[1] DAG - data-lake-commercial-carga-analytics-qfs-checkbox-arg,Open,2026-03-10T19:15:18.825-0300,2026-03-10T19:15:19.013-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3052,[QA] Testes / Data Quality,Open,2026-03-10T19:15:08.712-0300,2026-03-10T19:15:08.902-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3051,2.2 DataMart_QFSAR.tb_qfs_checkbox_pt,Open,2026-03-10T19:15:07.519-0300,2026-03-10T19:15:07.662-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3050,2.1 DataMart_QFSAR.tb_qfs_checkbox_en,Open,2026-03-10T19:15:06.155-0300,2026-03-10T19:15:06.342-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3049,[2] DAG - data-lake-commercial-carga-datamart-qfs-checkbox-arg,Open,2026-03-10T19:15:05.024-0300,2026-03-10T19:15:05.163-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3048,1.2 Staging_QFSAR.tb_qfs_checkbox_pt,Open,2026-03-10T19:15:03.816-0300,2026-03-10T19:15:04.036-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3047,1.1 Staging_QFSAR.tb_qfs_checkbox_en,Open,2026-03-10T19:15:02.540-0300,2026-03-10T19:15:02.736-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3046,[1] Cloud Function Template - fn_load_gcs_bgq_qfs,Open,2026-03-10T19:15:01.137-0300,2026-03-10T19:15:01.335-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3038,[COMERCIAL - 88] QFS Argentina - Respondent (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3044,[QA] Testes / Data Quality,Open,2026-03-10T19:14:51.322-0300,2026-03-10T19:14:51.506-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3038,[COMERCIAL - 88] QFS Argentina - Respondent (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3043,1.4 Analytics_QFSAR.tb_qfs_respondent_pt,Open,2026-03-10T19:14:50.029-0300,2026-03-10T19:14:50.198-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3038,[COMERCIAL - 88] QFS Argentina - Respondent (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3042,1.3 Analytics_QFSAR.tb_qfs_respondent_en,Open,2026-03-10T19:14:48.820-0300,2026-03-10T19:14:48.989-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3038,[COMERCIAL - 88] QFS Argentina - Respondent (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3041,1.2 Analytics_QFSAR_Restricted.tb_qfs_respondent_pt,Open,2026-03-10T19:14:47.412-0300,2026-03-10T19:14:47.719-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3038,[COMERCIAL - 88] QFS Argentina - Respondent (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3040,1.1 Analytics_QFSAR_Restricted.tb_qfs_respondent_en,Open,2026-03-10T19:14:46.222-0300,2026-03-10T19:14:46.358-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3038,[COMERCIAL - 88] QFS Argentina - Respondent (Analytics) - TAMANHO: M,COMERCIAL,BF3E4-3039,[1] DAG - data-lake-commercial-carga-analytics-qfs-respondente-arg,Open,2026-03-10T19:14:45.014-0300,2026-03-10T19:14:45.208-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3037,[QA] Testes / Data Quality,Open,2026-03-10T19:14:35.400-0300,2026-03-10T19:14:35.627-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3036,2.2 DataMart_QFSAR.tb_qfs_respondent_pt,Open,2026-03-10T19:14:33.879-0300,2026-03-10T19:14:34.044-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3035,2.1 DataMart_QFSAR.tb_qfs_respondent_en,Open,2026-03-10T19:14:32.719-0300,2026-03-10T19:14:32.870-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3034,[2] DAG - data-lake-commercial-carga-datamart-qfs-respondente-arg,Open,2026-03-10T19:14:31.464-0300,2026-03-10T19:14:31.597-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3033,1.2 Staging_QFSAR.tb_qfs_respondent_pt,Open,2026-03-10T19:14:30.132-0300,2026-03-10T19:14:30.302-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3032,1.1 Staging_QFSAR.tb_qfs_respondent_en,Open,2026-03-10T19:14:29.040-0300,2026-03-10T19:14:29.203-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3031,[1] Cloud Function Template - fn_load_gcs_bgq_qfs,Open,2026-03-10T19:14:27.708-0300,2026-03-10T19:14:27.888-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3012,[COMERCIAL - 86] QFS Argentina - Metadata e Population (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3029,[QA] Testes / Data Quality,Open,2026-03-10T19:14:22.451-0300,2026-03-10T19:14:22.632-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3012,[COMERCIAL - 86] QFS Argentina - Metadata e Population (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3028,6.3 vw_qfs_log,Open,2026-03-10T19:14:21.244-0300,2026-03-10T19:14:21.414-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3012,[COMERCIAL - 86] QFS Argentina - Metadata e Population (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3027,6.2 vw_qfs_population,Open,2026-03-10T19:14:20.028-0300,2026-03-10T19:14:20.203-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3012,[COMERCIAL - 86] QFS Argentina - Metadata e Population (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3026,6.1 vw_qfs_metadata,Open,2026-03-10T19:14:18.790-0300,2026-03-10T19:14:18.971-0300,0,Desenvolvimento/Outros
BF3E4-22,BF3E4-3012,[COMERCIAL - 86] QFS Argentina - Metadata e Population (Staging e DataMart) - TAMANHO: M,COMERCIAL,BF3E4-3025,[6] Views Analíticas,Open,2026-03-10T19:14:17.556-0300,2026-03-10T19:14:17.737-0300,0,Desenvolvimento/Outros
